iter	Passed	Remaining
975	11051	1392
976	11063	1381
977	11068	1369
978	11080	1358
979	11092	1346
980	11105	1335
981	11118	1324
982	11131	1313
983	11143	1302
984	11155	1291
985	11167	1279
986	11177	1268
987	11190	1257
988	11200	1245
989	11212	1234
990	11222	1223
991	11233	1211
992	11244	1200
993	11256	1189
994	11265	1177
995	11275	1166
996	11286	1154
997	11294	1143
998	11303	1131
999	11312	1119
1000	11323	1108
1001	11332	1097
1002	11342	1085
1003	11349	1073
1004	11354	1062
1005	11362	1050
1006	11370	1038
1007	11379	1027
1008	11389	1015
1009	11397	1004
1010	11406	992
1011	11414	981
1012	11421	969
1013	11432	958
1014	11441	946
1015	11452	935
1016	11463	924
1017	11471	912
1018	11481	901
1019	11489	889
1020	11496	878
1021	11507	867
1022	11516	855
1023	11525	844
1024	11537	832
1025	11546	821
1026	11554	810
1027	11565	798
1028	11576	787
1029	11584	776
1030	11593	764
1031	11603	753
1032	11614	742
1033	11624	730
1034	11634	719
1035	11645	708
1036	11653	696
1037	11664	685
1038	11674	674
1039	11685	662
1040	11696	651
1041	11707	640
1042	11719	629
1043	11730	618
1044	11740	606
1045	11750	595
1046	11761	584
1047	11769	572
1048	11782	561
1049	11790	550
1050	11799	538
1051	11808	527
1052	11817	516
1053	11826	504
1054	11836	493
1055	11847	482
1056	11859	471
1057	11869	459
1058	11881	448
1059	11891	437
1060	11900	426
1061	11910	414
1062	11917	403
1063	11926	392
1064	11936	381
1065	11943	369
1066	11952	358
1067	11961	347
1068	11971	335
1069	11981	324
1070	11991	313
1071	11999	302
1072	12008	290
1073	12017	279
1074	12027	268
1075	12036	257
1076	12044	246
1077	12054	234
1078	12064	223
1079	12076	212
1080	12087	201
1081	12100	190
1082	12110	178
1083	12119	167
1084	12130	156
1085	12138	145
1086	12149	134
1087	12156	122
1088	12164	111
1089	12174	100
1090	12183	89
1091	12194	78
1092	12203	66
1093	12211	55
1094	12222	44
1095	12231	33
1096	12240	22
1097	12248	11
1098	12256	0
1	1232
1068	13298	1219
1069	13305	1206
1070	13314	1193
1071	13321	1180
1072	13328	1167
1073	13335	1154
1074	13341	1141
1075	13348	1128
1076	13354	1116
1077	13361	1103
1078	13367	1090
1079	13374	1077
1080	13382	1064
1081	13391	1052
1082	13402	1039
1083	13411	1026
1084	13423	1014
1085	13432	1001
1086	13440	989
1087	13450	976
1088	13460	964
1089	13468	951
1090	13477	938
1091	13486	926
1092	13495	913
1093	13500	900
1094	13504	887
1095	13513	875
1096	13520	862
1097	13528	850
1098	13536	837
1099	13543	824
1100	13551	812
1101	13559	799
1102	13567	787
1103	13575	774
1104	13583	762
1105	13592	749
1106	13596	736
1107	13605	724
1108	13613	711
1109	13620	699
1110	13630	687
1111	13638	674
1112	13647	662
1113	13655	649
1114	13665	637
1115	13673	624
1116	13681	612
1117	13688	599
1118	13697	587
